model,crime_cat,n_cells,spearman_global,kendall_global,recall5,recall10,ndcg,pai10,pei10,nmae,smape,log_rmse,intra_spearman,intra_recall10,intra_ndcg,intra_pai,intra_n_districts,macro_intra_spearman,min_intra_spearman,macro_intra_recall10,min_intra_recall10,macro_intra_pai,min_intra_pai,macro_recall10,min_recall10,macro_ndcg,min_ndcg
M2e_educacion,robo_hurto_callejero,4312.0,0.9089811572846087,0.7774325091519539,0.3139955822800344,0.48575745490244204,0.8609654067103979,4.85757454902442,0.7512157513936663,0.7341840288086451,1.4829822841434885,0.8411688389942785,0.5830322173515655,0.3658464949705534,0.8749506912055499,3.6584649497055333,41.0,,,,,,,,,,
M2e_educacion,extorsion,3573.0,0.7727664469498108,0.6824678876404965,0.3223393403604216,0.5889153349200952,0.8688040510144427,5.889153349200951,0.808212785814279,0.8410755891908627,1.8302043796736758,0.4846681657988278,0.4102470093219009,0.29737697291737025,0.7678555028833728,2.973769729173702,40.0,,,,,,,,,,
M2e_educacion,estafa,3762.0,0.813968851226828,0.7086943519547685,0.38589332556106093,0.5947245700961818,0.9115497631879782,5.947245700961818,0.829134498171475,0.6361915474414863,1.6551497752547444,0.41225187706054406,0.4948302001801598,0.308974448808789,0.8291902041401104,3.08974448808789,39.0,,,,,,,,,,
M2e_educacion,violencia_familiar_sexual,4212.0,0.9003574362399946,0.7654830972573502,0.3206554747034894,0.5228327508164785,0.9045267764549735,5.228327508164785,0.8088104945931572,0.5820347842675934,1.3967815924880789,0.66010225716998,0.5874006359943055,0.36964942057424166,0.8953548077032926,3.6964942057424164,41.0,,,,,,,,,,
M2e_educacion,secuestro,3353.0,0.407466675198531,0.3749173858467236,0.39457831325301207,0.7078313253012049,0.6774875738219449,7.078313253012048,0.7078313253012049,1.1893430127897753,1.968838030921738,0.2066745936908982,0.23055261820788947,0.3092923389838352,0.5750866880666174,3.092923389838351,34.0,,,,,,,,,,
M2e_educacion,__macro__,,,,,,,,,,,,,,,,,0.46121253621116426,0.23055261820788947,0.3302279352509579,0.29737697291737025,3.3022793525095784,2.973769729173702,0.5800122872072804,0.48575745490244204,0.8446667142379475,0.6774875738219449
M3_remote,robo_hurto_callejero,4312.0,0.9016998118975854,0.7616255730072669,0.30611884893852004,0.48635568781445576,0.8643289821954796,4.863556878144557,0.7521409085517732,0.7355488199786239,1.4919917020432465,0.8373600889241944,0.5852834703291544,0.37019703925907216,0.8789514075106187,3.701970392590722,41.0,,,,,,,,,,
M3_remote,extorsion,3573.0,0.7743741311019332,0.684922891741136,0.32607956477388644,0.5630737844270656,0.8618837649465985,5.630737844270655,0.7727484834344377,0.8312257169080061,1.829656192486285,0.4846324299546427,0.4076678325444041,0.2683687740965675,0.754989545897016,2.683687740965675,40.0,,,,,,,,,,
M3_remote,estafa,3762.0,0.7981911300387973,0.6861381190887061,0.3837073739434567,0.5945788399883416,0.9047026976309188,5.945788399883416,0.8289313287281592,0.6343492330422308,1.6564103132237185,0.4126483482536852,0.48352765663611263,0.3136909119491915,0.8353129947153051,3.136909119491915,39.0,,,,,,,,,,
M3_remote,violencia_familiar_sexual,4212.0,0.893988971609366,0.7516481560841403,0.32828740044691457,0.5191084627284708,0.9075024767712799,5.191084627284708,0.8030491047686581,0.5848306208543572,1.3988186782690462,0.6604072056031247,0.586627609953361,0.36725053560088644,0.8966043156772436,3.672505356008864,41.0,,,,,,,,,,
