model,split,fold,crime_cat,n_cells,spearman_global,kendall_global,recall5,recall10,ndcg,pai10,pei10,nmae,smape,log_rmse,intra_spearman,intra_recall10,intra_ndcg,intra_pai,intra_n_districts,macro_intra_spearman,min_intra_spearman,macro_intra_recall10,min_intra_recall10,macro_intra_ndcg,min_intra_ndcg,macro_intra_pai,min_intra_pai
M2_osm,temporal_expanding,2023,robo_hurto_callejero,52215.0,0.6787373265957978,0.5638713649829653,0.474320680105934,0.7360840699938326,0.9219781850622476,7.360840699938326,0.8866311250946803,5.7032276807689275,1.8334158706151578,1.0755609159749784,0.44456548188116723,0.30300889492304245,0.780173853278614,3.030088949230425,45.0,,,,,,,,
M2_osm,temporal_expanding,2023,extorsion,50118.0,0.27747305598453575,0.2312342173598451,0.4274525968672712,0.6187139323990107,0.7388838951048148,6.187139323990107,0.6187139323990107,4.91256797038842,1.9450767100674706,0.3152142311324772,0.13395827592245355,0.24503636203877746,0.5153237069891502,2.4503636203877743,44.0,,,,,,,,
M2_osm,temporal_expanding,2023,estafa,50260.0,0.37850272560277637,0.30981242178863694,0.5541808022350828,0.7874675713430453,0.8429887977292855,7.874675713430453,0.7874675713430453,98.20911130598483,1.9868478778824956,1.6322601655244953,0.23323297669101611,0.27479579056271364,0.616966097447089,2.7479579056271364,43.0,,,,,,,,
M2_osm,temporal_expanding,2023,violencia_familiar_sexual,51556.0,0.6521876893980416,0.5401925404533304,0.4633629323007077,0.7320570169582054,0.8965151817289516,7.320570169582053,0.873198216134427,14.289209897836699,1.9212633308422389,1.5893462744885223,0.45334239399353726,0.29710564368579634,0.7808340744881627,2.9710564368579626,45.0,,,,,,,,
M2_osm,temporal_expanding,2023,secuestro,50065.0,0.09450537113785844,0.07884883398832455,0.34662576687116564,0.5030674846625767,0.45224705168001056,5.030674846625766,0.5030674846625767,10.372392796423371,1.9961032192039523,0.13457832670403436,0.032400364085759394,0.19195624195624197,0.2653180132218932,1.919562419562419,37.0,,,,,,,,
M2_osm,temporal_expanding,2023,__macro__,,,,,,,,,,,,,,,,,0.25949989851478666,0.032400364085759394,0.26238058663331437,0.19195624195624197,0.5917231490849818,0.2653180132218932,2.623805866333144,1.919562419562419
M3_hist_kde,temporal_expanding,2023,robo_hurto_callejero,52215.0,0.6800016735653605,0.564634883499246,0.4606314923875056,0.7271715864704389,0.919977146233328,7.2717158647043885,0.8758958224086698,6.324067171701245,1.8438739092471836,1.1137827955233672,0.40880763339632914,0.3203193866498355,0.7830516561809147,3.2031938664983546,45.0,,,,,,,,
M3_hist_kde,temporal_expanding,2023,extorsion,50118.0,0.2776716817542159,0.23110906209819634,0.39406430338004944,0.6215993404781534,0.7486147803692582,6.215993404781533,0.6215993404781532,6.687359863830831,1.9498872252887023,0.36735205289486517,0.06638691435588705,0.22635994592433864,0.5142532000839048,2.263599459243386,44.0,,,,,,,,
M3_hist_kde,temporal_expanding,2023,estafa,50260.0,0.38046301155834444,0.3136490926627109,0.5190580722410697,0.7978447415685492,0.8360101448409174,7.978447415685492,0.7978447415685492,130.60355102985105,1.9892028321288422,1.7284076607101484,0.1736722136659564,0.2613429402723604,0.5972282230989102,2.613429402723603,43.0,,,,,,,,
M3_hist_kde,temporal_expanding,2023,violencia_familiar_sexual,51556.0,0.6562925251700901,0.5448509864159425,0.4616938175991454,0.7323908398985178,0.9032934659715715,7.323908398985178,0.8735964004141117,16.0989607893764,1.9260353982654188,1.6243513134926562,0.47129702645078025,0.31565728603886595,0.7863739129065289,3.156572860388659,45.0,,,,,,,,
M3_hist_kde,temporal_expanding,2023,secuestro,50065.0,0.09427436275036305,0.07870495981840026,0.34355828220858897,0.5,0.4433565058695876,5.0,0.5,10.678172519029902,1.9961006987894179,0.13883406295303466,0.008624314404259883,0.13064720564720567,0.257094430796033,1.3064720564720564,37.0,,,,,,,,
M3_hist_kde,temporal_expanding,2023,__macro__,,,,,,,,,,,,,,,,,0.22575762045464254,0.008624314404259883,0.25086535290652123,0.13064720564720567,0.5876002846132583,0.257094430796033,2.508653529065212,1.3064720564720564
M4_temporal,temporal_expanding,2023,robo_hurto_callejero,52215.0,0.6799174270645759,0.5645681485291323,0.4606314923875056,0.726784612966031,0.9187348904600492,7.26784612966031,0.8754297034318009,6.325796865392051,1.8438275941080777,1.1141447406287432,0.4152488287446122,0.32082731417232735,0.7830918522502617,3.2082731417232733,45.0,,,,,,,,
M4_temporal,temporal_expanding,2023,extorsion,50118.0,0.2776301543318909,0.2311360828055345,0.3928276999175598,0.6215993404781534,0.7474129659233084,6.215993404781533,0.6215993404781532,6.692037947068016,1.9493601149576318,0.36751702151768995,0.06357264377392718,0.2065481279603922,0.5092908912674303,2.065481279603922,44.0,,,,,,,,
M4_temporal,temporal_expanding,2023,estafa,50260.0,0.38046301155834444,0.3136490926627109,0.5190580722410697,0.7978447415685492,0.8360101448409174,7.978447415685492,0.7978447415685492,130.60355102985105,1.9892028321288422,1.7284076607101484,0.1736722136659564,0.2613429402723604,0.5972282230989102,2.613429402723603,43.0,,,,,,,,
M4_temporal,temporal_expanding,2023,violencia_familiar_sexual,51556.0,0.6562925251700901,0.5448509864159425,0.4616938175991454,0.7323908398985178,0.9032934659715715,7.323908398985178,0.8735964004141117,16.0989607893764,1.9260353982654188,1.6243513134926562,0.47129702645078025,0.31565728603886595,0.7863739129065289,3.156572860388659,45.0,,,,,,,,
M4_temporal,temporal_expanding,2023,secuestro,50065.0,0.09440678794334481,0.07885626057927057,0.34049079754601225,0.5,0.4438564016199999,5.0,0.5,10.678006018127228,1.9960570012669854,0.1387473427332047,0.010892689699931457,0.12614270114270115,0.25633071454060324,1.2614270114270114,37.0,,,,,,,,
M4_temporal,temporal_expanding,2023,__macro__,,,,,,,,,,,,,,,,,0.2269366804670415,0.010892689699931457,0.2461036739173294,0.12614270114270115,0.5864631188127468,0.25633071454060324,2.461036739173294,1.2614270114270114
M2_osm,buffered_spatial_cv,0,robo_hurto_callejero,10057.0,0.7403553490761284,0.6311048851869746,0.3373320537428023,0.6094529750479847,0.8778133869292771,6.094529750479847,0.7965506428347445,4.209218514419677,1.8092657907346954,1.4020676754454635,0.4244757702877819,0.3037046680872624,0.7821445540372326,3.0370466808726237,8.0,,,,,,,,
