ubigeo,categoria,anio,observado,r_hat,r_ic_low,r_ic_high,r_scope,latente,latente_ic_low,latente_ic_high,factor_subrep,latente_rate_100k,inestable
150139,violencia_familiar_sexual,2023,244,0.091,0.0433,0.1539,panel,2681.3,1585.4,5635.1,11.0,6069.9,0
150139,violencia_familiar_sexual,2024,268,0.091,0.0433,0.1539,panel,2945.1,1741.4,6189.4,11.0,6369.6,0
150140,estafa,2018,428,0.0226,0.0046,0.0541,panel,18938.1,7911.3,93043.5,44.2,4916.7,1
150140,estafa,2019,372,0.0226,0.0046,0.0541,panel,16460.2,6876.2,80869.6,44.2,4145.3,1
150140,estafa,2020,377,0.0226,0.0046,0.0541,panel,16681.4,6968.6,81956.5,44.2,4087.7,1
150140,estafa,2021,620,0.0226,0.0046,0.0541,panel,27433.6,11460.3,134782.6,44.2,6624.2,1
150140,estafa,2022,613,0.0226,0.0046,0.0541,panel,27123.9,11330.9,133260.9,44.2,6457.8,1
150140,estafa,2023,799,0.0226,0.0046,0.0541,panel,35354.0,14768.9,173695.7,44.2,8304.1,1
150140,estafa,2024,743,0.0226,0.0046,0.0541,panel,32876.1,13733.8,161521.7,44.2,7621.0,1
150140,extorsion,2018,26,0.1331,0.0029,0.4476,panel,195.3,58.1,8965.5,7.5,50.7,0
150140,extorsion,2019,38,0.1331,0.0029,0.4476,panel,285.5,84.9,13103.4,7.5,71.9,0
150140,extorsion,2020,28,0.1331,0.0029,0.4476,panel,210.4,62.6,9655.2,7.5,51.5,0
150140,extorsion,2021,53,0.1331,0.0029,0.4476,panel,398.2,118.4,18275.9,7.5,96.1,0
150140,extorsion,2022,221,0.1331,0.0029,0.4476,panel,1660.4,493.7,76206.9,7.5,395.3,0
150140,extorsion,2023,329,0.1331,0.0029,0.4476,panel,2471.8,735.0,113448.3,7.5,580.6,0
150140,extorsion,2024,203,0.1331,0.0029,0.4476,panel,1525.2,453.5,70000.0,7.5,353.6,0
150140,robo_hurto_callejero,2018,6851,0.2531,0.1933,0.3178,panel,27068.4,21557.6,35442.3,4.0,7027.5,0
150140,robo_hurto_callejero,2019,6216,0.2531,0.1933,0.3178,panel,24559.5,19559.5,32157.3,4.0,6185.0,0
150140,robo_hurto_callejero,2020,2990,0.2531,0.1933,0.3178,panel,11813.5,9408.4,15468.2,4.0,2894.9,0
150140,robo_hurto_callejero,2021,3958,0.2531,0.1933,0.3178,panel,15638.1,12454.4,20475.9,4.0,3776.0,0
150140,robo_hurto_callejero,2022,4539,0.2531,0.1933,0.3178,panel,17933.6,14282.6,23481.6,4.0,4269.7,0
150140,robo_hurto_callejero,2023,7582,0.2531,0.1933,0.3178,panel,29956.5,23857.8,39224.0,4.0,7036.3,0
150140,robo_hurto_callejero,2024,7353,0.2531,0.1933,0.3178,panel,29051.8,23137.2,38039.3,4.0,6734.5,0
150140,secuestro,2018,20,0.4718,0.0431,0.9349,panel,42.4,21.4,464.0,2.1,11.0,0
150140,secuestro,2019,20,0.4718,0.0431,0.9349,panel,42.4,21.4,464.0,2.1,10.7,0
150140,secuestro,2020,12,0.4718,0.0431,0.9349,panel,25.4,12.8,278.4,2.1,6.2,0
150140,secuestro,2021,26,0.4718,0.0431,0.9349,panel,55.1,27.8,603.2,2.1,13.3,0
150140,secuestro,2022,39,0.4718,0.0431,0.9349,panel,82.7,41.7,904.9,2.1,19.7,0
150140,secuestro,2023,33,0.4718,0.0431,0.9349,panel,69.9,35.3,765.7,2.1,16.4,0
150140,secuestro,2024,23,0.4718,0.0431,0.9349,panel,48.7,24.6,533.6,2.1,11.3,0
150140,violencia_familiar_sexual,2018,2600,0.0793,0.0376,0.1348,panel,32786.9,19287.8,69148.9,12.6,8512.1,0
150140,violencia_familiar_sexual,2019,2471,0.0793,0.0376,0.1348,panel,31160.2,18330.9,65718.1,12.6,7847.3,0
150140,violencia_familiar_sexual,2020,2949,0.0793,0.0376,0.1348,panel,37187.9,21876.9,78430.9,12.6,9112.8,0
150140,violencia_familiar_sexual,2021,2443,0.0793,0.0376,0.1348,panel,30807.1,18123.1,64973.4,12.6,7438.8,0
150140,violencia_familiar_sexual,2022,2600,0.0793,0.0376,0.1348,panel,32786.9,19287.8,69148.9,12.6,7806.1,0
150140,violencia_familiar_sexual,2023,2696,0.0793,0.0376,0.1348,panel,33997.5,20000.0,71702.1,12.6,7985.5,0
150140,violencia_familiar_sexual,2024,2641,0.0793,0.0376,0.1348,panel,33303.9,19592.0,70239.4,12.6,7720.2,0
150141,estafa,2018,52,0.019,0.0024,0.0519,panel,2736.8,1001.9,21666.7,52.6,2788.2,1
150141,estafa,2019,29,0.019,0.0024,0.0519,panel,1526.3,558.8,12083.3,52.6,1535.6,1
150141,estafa,2020,64,0.019,0.0024,0.0519,panel,3368.4,1233.1,26666.7,52.6,3357.0,1
150141,estafa,2021,166,0.019,0.0024,0.0519,panel,8736.8,3198.5,69166.7,52.6,8612.1,1
150141,estafa,2022,153,0.019,0.0024,0.0519,panel,8052.6,2948.0,63750.0,52.6,7861.3,1
150141,estafa,2023,147,0.019,0.0024,0.0519,panel,7736.8,2832.4,61250.0,52.6,7487.7,1
150141,estafa,2024,186,0.019,0.0024,0.0519,panel,9789.5,3583.8,77500.0,52.6,9397.5,1
150141,extorsion,2018,3,0.1526,0.0034,0.502,panel,19.7,6.0,882.4,6.6,20.0,0
150141,extorsion,2019,3,0.1526,0.0034,0.502,panel,19.7,6.0,882.4,6.6,19.8,0
150141,extorsion,2020,5,0.1526,0.0034,0.502,panel,32.8,10.0,1470.6,6.6,32.7,0
150141,extorsion,2021,15,0.1526,0.0034,0.502,panel,98.3,29.9,4411.8,6.6,96.9,0
150141,extorsion,2022,47,0.1526,0.0034,0.502,panel,308.0,93.6,13823.5,6.6,300.7,0
150141,extorsion,2023,71,0.1526,0.0034,0.502,panel,465.3,141.4,20882.4,6.6,450.3,0
150141,extorsion,2024,61,0.1526,0.0034,0.502,panel,399.7,121.5,17941.2,6.6,383.7,0
150141,robo_hurto_callejero,2018,1096,0.2635,0.1918,0.3421,panel,4159.4,3203.7,5714.3,3.8,4237.4,0
150141,robo_hurto_callejero,2019,510,0.2635,0.1918,0.3421,panel,1935.5,1490.8,2659.0,3.8,1947.2,0
150141,robo_hurto_callejero,2020,965,0.2635,0.1918,0.3421,panel,3662.2,2820.8,5031.3,3.8,3649.9,0
150141,robo_hurto_callejero,2021,1780,0.2635,0.1918,0.3421,panel,6755.2,5203.2,9280.5,3.8,6658.8,0
150141,robo_hurto_callejero,2022,1179,0.2635,0.1918,0.3421,panel,4474.4,3446.4,6147.0,3.8,4368.1,0
150141,robo_hurto_callejero,2023,2138,0.2635,0.1918,0.3421,panel,8113.9,6249.6,11147.0,3.8,7852.6,0
150141,robo_hurto_callejero,2024,1746,0.2635,0.1918,0.3421,panel,6626.2,5103.8,9103.2,3.8,6360.9,0
150141,secuestro,2018,1,0.1774,0.0,0.8035,panel,5.6,1.2,,5.6,5.7,0
150141,secuestro,2019,3,0.1774,0.0,0.8035,panel,16.9,3.7,,5.6,17.0,0
150141,secuestro,2020,3,0.1774,0.0,0.8035,panel,16.9,3.7,,5.6,16.9,0
150141,secuestro,2021,3,0.1774,0.0,0.8035,panel,16.9,3.7,,5.6,16.7,0
150141,secuestro,2022,1,0.1774,0.0,0.8035,panel,5.6,1.2,,5.6,5.5,0
150141,secuestro,2023,5,0.1774,0.0,0.8035,panel,28.2,6.2,,5.6,27.3,0
150141,secuestro,2024,1,0.1774,0.0,0.8035,panel,5.6,1.2,,5.6,5.4,0
150141,violencia_familiar_sexual,2018,1195,0.0921,0.0452,0.1533,panel,12975.0,7795.2,26438.1,10.9,13218.4,0
150141,violencia_familiar_sexual,2019,1049,0.0921,0.0452,0.1533,panel,11389.8,6842.8,23208.0,10.9,11458.9,0
150141,violencia_familiar_sexual,2020,746,0.0921,0.0452,0.1533,panel,8099.9,4866.3,16504.4,10.9,8072.5,0
150141,violencia_familiar_sexual,2021,730,0.0921,0.0452,0.1533,panel,7926.2,4761.9,16150.4,10.9,7813.0,0
150141,violencia_familiar_sexual,2022,691,0.0921,0.0452,0.1533,panel,7502.7,4507.5,15287.6,10.9,7324.4,0
150141,violencia_familiar_sexual,2023,680,0.0921,0.0452,0.1533,panel,7383.3,4435.7,15044.2,10.9,7145.5,0
